Feature,Coefficient
region_pensacola,0.0
region_peoria,1900.9914236229104
region_philadelphia,-2091.8585877592195
region_phoenix,-701.1760356370504
region_pierre / central SD,0.0
region_pittsburgh,66.84392147904161
region_plattsburgh-adirondacks,50.68770460459425
region_poconos,-745.8520227327773
region_port huron,-0.0
region_portland,204.4192923276833
region_potsdam-canton-massena,0.0
region_prescott,677.0184278413243
region_provo / orem,-168.57634875034216
region_pueblo,74.17647148869314
region_pullman / moscow,-1458.7165796474758
"region_quad cities, IA/IL",239.71056315604642
region_raleigh / durham / CH,0.0
region_rapid city / west SD,2508.321597284561
region_reading,-546.5247080795598
region_redding,633.8036955352296
region_reno / tahoe,1766.9462473829262
region_rhode island,-322.50236286961217
region_richmond,-664.390978614839
region_roanoke,2843.315711612219
region_rochester,-502.36021776910104
region_rockford,-2997.130182092026
region_roseburg,2389.6872099732823
region_roswell / carlsbad,277.1544531133225
region_sacramento,-336.0399090661921
region_saginaw-midland-baycity,47.2397172022188
region_salem,-3971.349122762385
region_salina,0.0
region_salt lake city,871.2642534237599
region_san angelo,2306.945360877655
region_san antonio,-245.49370061412148
region_san diego,-1257.558780204762
region_san luis obispo,2072.929604797438
region_san marcos,-4748.468157493428
region_sandusky,-1832.5744928407346
region_santa barbara,182.82411689470715
region_santa fe / taos,411.42968431306923
region_santa maria,-4580.977738775457
region_sarasota-bradenton,1248.6240159219512
region_savannah / hinesville,-1397.6700588006313
region_scottsbluff / panhandle,6570.479645816096
region_scranton / wilkes-barre,350.65739782691736
region_seattle-tacoma,-1058.5333385408312
region_sheboygan,930.9116977007271
region_show low,-896.0501544249543
region_shreveport,2918.187823567997
region_sierra vista,-199.60955869188092
region_sioux city,-4246.865136853991
region_sioux falls / SE SD,-340.8114006483193
region_siskiyou county,0.0
region_skagit / island / SJI,1585.6452222347493
region_south bend / michiana,823.4621058628771
region_south coast,16.02182896343805
region_south dakota,-0.0
region_south florida,-1987.5097100252801
region_south jersey,-0.0
region_southeast IA,-1484.997488039404
region_southeast KS,-4119.10489329476
region_southeast alaska,-0.0
region_southeast missouri,-493.18081603052224
region_southern WV,-690.58256724042
region_southern illinois,-0.0
region_southern maryland,-4117.3914063092325
region_southwest KS,938.9070381001123
region_southwest MN,-360.2917211258172
region_southwest MS,893.2140523124788
region_southwest TX,0.0
region_southwest VA,1499.1547959515415
region_southwest michigan,238.96558397755967
region_space coast,-3310.8596538122065
region_spokane / coeur d'alene,-431.81333221927736
region_springfield,1386.7246943274495
region_st augustine,-692.1557152585849
region_st cloud,-1425.6951639325548
region_st george,328.85288960017186
region_st joseph,-518.3707358858051
region_st louis,-0.0
"region_st louis, MO",2093.1597368581492
region_state college,373.3488534208492
region_statesboro,-512.9773766794663
region_stillwater,-1124.4408332585676
region_stockton,190.07057827632008
region_susanville,4522.865017288884
region_syracuse,510.0533975642776
region_tallahassee,-576.5860474897975
region_tampa bay area,163.21319359553218
region_terre haute,-555.3953662612257
region_texarkana,-851.1215425168078
region_texoma,-3969.3916510082604
region_the thumb,-341.6548671586838
region_toledo,-407.06474077316904
region_topeka,1768.5623949305163
region_treasure coast,0.0
region_tri-cities,0.0
region_tucson,-0.0
region_tulsa,-0.0
region_tuscaloosa,-1207.96275185407
region_tuscarawas co,-1306.7435091837872
region_twin falls,-36.76197141074312
region_twin tiers NY/PA,-849.6402885050986
region_tyler / east TX,597.9325544750101
region_upper peninsula,353.65003799594626
region_utica-rome-oneida,1005.8027320202413
region_valdosta,1833.5912843176354
region_ventura county,-7.871897106964312
region_vermont,278.1547744028275
region_victoria,0.0
region_visalia-tulare,-778.4139122280199
region_waco,454.92152837317457
"region_washington, DC",-983.0699713325387
region_waterloo / cedar falls,1136.2175780449227
region_watertown,-0.0
region_wausau,439.76399030541944
region_wenatchee,2223.2325292612563
region_west virginia (old),-0.0
region_western IL,-4930.726533229913
region_western KY,-541.3930137603098
region_western maryland,-0.0
region_western massachusetts,-1703.3126971187755
region_western slope,-228.73749285051542
region_wichita,1087.4039561115476
region_wichita falls,-332.8650396824094
region_williamsport,-134.589111625622
region_wilmington,-3282.5567135339184
region_winchester,3252.8398414160947
region_winston-salem,-1196.0786270894846
region_worcester / central MA,-180.06893237285666
region_wyoming,71.96103971665465
region_yakima,1532.1454220300213
region_york,-1501.1102943153398
region_youngstown,350.5845339217263
region_yuba-sutter,984.6371010156289
region_yuma,860.431912535333
region_zanesville / cambridge,0.0
manufacturer_acura,-170.52393995894508
manufacturer_alfa-romeo,-1047.8854381424117
manufacturer_aston-martin,0.0
manufacturer_audi,185.5437699632378
manufacturer_bmw,313.5830637650564
manufacturer_buick,-769.309742518771
manufacturer_cadillac,190.55722176631096
manufacturer_chevrolet,646.9583765240634
manufacturer_chrysler,-129.31308862692862
manufacturer_datsun,1855.0108140935802
manufacturer_dodge,-837.6975934799352
manufacturer_ferrari,-0.0
manufacturer_fiat,-1585.9597321268068
manufacturer_ford,491.9279162083231
manufacturer_gmc,920.4010906235925
manufacturer_harley-davidson,-0.0
manufacturer_honda,954.401997904498
manufacturer_hyundai,-822.600765934371
manufacturer_infiniti,-110.87621255388794
manufacturer_jaguar,-193.1478261947447
manufacturer_jeep,-143.6803024105797
manufacturer_kia,-1550.5161418168075
manufacturer_land rover,-2939.994480168985
manufacturer_lexus,1258.9930717388745
manufacturer_lincoln,0.0
manufacturer_mazda,-748.0948724674024
manufacturer_mercedes-benz,624.8882459122464
manufacturer_mercury,699.4482889063034
manufacturer_mini,-673.742848743899
manufacturer_mitsubishi,-1474.012310814867
manufacturer_nissan,-416.1772497404595
manufacturer_pontiac,1555.415724116684
manufacturer_porsche,3345.6468864195836
manufacturer_ram,-309.72947078267555
manufacturer_rover,829.0180845976906
manufacturer_saturn,808.3325483671873
manufacturer_subaru,-366.1326184796172
manufacturer_tesla,1750.0977210267288
manufacturer_toyota,1194.7380241653836
manufacturer_volkswagen,-997.9937822503554
manufacturer_volvo,437.8982925254824
fuel_diesel,4596.751924796357
fuel_electric,-1007.1673821871178
fuel_gas,188.72617996924907
fuel_hybrid,-554.4178875978755
fuel_other,0.0
title_status_clean,1429.069654161656
title_status_lien,3594.0032887635457
title_status_missing,-2552.5751960025523
title_status_parts only,-3115.890230462147
title_status_rebuilt,8.708381252301582
title_status_salvage,-825.8384835502823
transmission_automatic,572.3935413623432
transmission_manual,1348.045154325254
transmission_other,-1177.3903980300088
state_ak,4675.526951334984
state_al,270.53868457393304
state_ar,-663.2556805382975
state_az,45.10011722463393
state_ca,-296.6930702972331
state_co,721.1178453157543
state_ct,-422.6478289238443
state_dc,-12.914132288548412
state_de,-65.6737462275818
state_fl,261.10122031563264
state_ga,-560.6831797415804
state_hi,0.0
state_ia,0.0
state_id,1198.8688000878096
state_il,-937.1952535112063
state_in,-226.54077293701988
state_ks,0.22163287000025245
state_ky,213.93327654754816
state_la,-1299.834224724369
state_ma,-34.69433759073582
state_md,-1043.785767180181
state_me,-301.84723916292523
state_mi,-759.9511361804421
state_mn,12.134270421032236
state_mo,456.00460628280626
state_ms,-0.0
state_mt,2854.5161590706275
state_nc,-1626.1884062386637
state_nd,201.846633818113
state_ne,1827.4001907371335
state_nh,-204.21630942868765
state_nj,88.04030721411009
state_nm,0.0
state_nv,-725.16701309386
state_ny,-232.12798515768998
state_oh,-1039.8411144522254
state_ok,-2219.933686601113
state_or,-601.7995110813324
state_pa,-241.90736698798656
state_ri,-183.39769575672054
state_sc,-1656.6289676678157
state_sd,556.4807432280074
state_tn,284.0879409144341
state_tx,1440.2526331775093
state_ut,1394.5354478280171
state_va,-2633.909663272968
state_vt,0.0
state_wa,0.0
state_wi,0.0
state_wv,0.0
state_wy,0.0
